Latitude,Longitude,Altitude
9.173788274769883,-160.2709007213952,-20.959019056492153
9.398304554864033,-160.06669458163094,-20.959014256727556
9.61305916844929,-159.84392430485852,-20.959008994209015
9.837575462640224,-159.60259234655925,-20.85900329496377
10.062091673392715,-159.39838616587113,-20.85899854122033
10.286607812954834,-159.1756158232345,-20.858993336818315
10.51112392678494,-158.95284546924432,-20.85898814926375
10.735640015074964,-158.73007510261112,-20.8589829782576
10.96015602632096,-158.48874057589643,-20.858977362006442
11.184672010346645,-158.2474060358544,-20.858971762725602
11.418949506702724,-157.98750730724896,-20.858965736855225
11.643465378738277,-157.72760859431506,-20.858959712263356
11.877742869655407,-157.4862739868421,-20.85895418300629
12.112020331434842,-157.24493936394273,-20.858948672013796
12.336536115937712,-156.98504061103012,-20.858942702707452
12.561051930376877,-156.7437059916969,-20.85893720811626
12.795329245996825,-156.48380718131338,-20.858931295033642
13.01984500352026,-156.24247253798094,-20.858925836028206
13.254122321646165,-156.0011378467864,-20.85892041309834
13.478637960212346,-155.74123902792212,-20.85891453478611
13.712915434950695,-155.4999067456575,-20.75890914798599
13.937431083721485,-155.25857204364723,-20.75890375688971
14.171708290994452,-155.0172372953634,-20.75889840636014
14.396223884283515,-154.77590256769153,-20.758893050780507
14.63050103460457,-154.53456779168093,-20.75888773375852
14.864778156217007,-154.2932330003693,-20.75888243382971
15.099055178339562,-154.033334047996,-20.758876704577972
15.333332241328911,-153.7919992306716,-20.758871441476458
15.567609275984466,-153.55066439697936,-20.758866198314145
15.801886454663837,-153.29076780561294,-20.658860524893377
16.03616343459636,-153.04943294016945,-20.65885531553183
16.280201966045844,-152.80809802199354,-20.658850148531123
16.51447888815015,-152.56676312817518,-20.65884497635917
16.74875578095196,-152.32542822057152,-20.65883982034582
16.98303264525518,-152.08409329921875,-20.65883468375111
17.227071059167017,-151.84275832152238,-20.65882958736735
17.461347865459146,-151.60142337206085,-20.658824485609912
17.70538649765472,-151.36009073616492,-20.558819428452203
17.939663334205584,-151.13731990107522,-20.558814803405845
18.17394014420241,-150.91454905370958,-20.558810192493283
18.408216927992875,-150.6917781911832,-20.558805598587398
18.652255260041287,-150.4690072688354,-20.558801050319133
18.88653190118655,-150.2276722296812,-20.55879605200583
19.13057017771706,-150.0049012784331,-20.55879153796878
19.364847156092914,-149.78213270699325,-20.45878701018161
19.60888528943149,-149.54079757274295,-20.458782095667438
19.843161913964927,-149.3180266218956,-20.45877760107753
20.087200083734487,-149.09525560555278,-20.458773154529652
