X,Y,Z
-34.41,-121.17,-22.56
-34.58,-121.29,-22.56
-34.75,-121.38,-22.56
-34.93,-121.49,-22.56
-35.1,-121.6,-22.56
-35.27,-121.71,-22.56
-35.45,-121.81,-22.56
-35.62,-121.92,-22.56
-35.8,-122.03,-22.56
-35.96,-122.14,-22.56
-36.14,-122.23,-22.56
-36.31,-122.34,-22.56
-36.49,-122.46,-22.56
-36.67,-122.55,-22.56
-36.83,-122.66,-22.66
-37.01,-122.75,-22.56
-37.18,-122.85,-22.66
-37.36,-122.96,-22.66
-37.54,-123.05,-22.66
-37.71,-123.14,-22.66
-37.89,-123.25,-22.66
-38.06,-123.37,-22.66
-38.25,-123.46,-22.66
-38.42,-123.55,-22.66
-38.6,-123.64,-22.66
-38.77,-123.76,-22.66
-38.95,-123.85,-22.66
-39.13,-123.96,-22.66
-39.31,-124.05,-22.66
-39.49,-124.14,-22.66
-39.66,-124.24,-22.66
-39.84,-124.35,-22.66
-40.02,-124.44,-22.66
-40.2,-124.53,-22.66
-40.38,-124.65,-22.66
-40.56,-124.74,-22.66
-40.74,-124.83,-22.66
-40.92,-124.92,-22.76
-41.11,-125.04,-22.76
-41.28,-125.13,-22.76
-41.46,-125.24,-22.76
-41.62,-125.35,-22.76
-41.79,-125.46,-22.76
-41.96,-125.59,-22.76
-42.12,-125.72,-22.76
-42.28,-125.85,-22.76
-42.45,-125.98,-22.76
-42.6,-126.11,-22.76
-42.76,-126.26,-22.76
-42.91,-126.39,-22.76
-43.06,-126.54,-22.76
-43.21,-126.69,-22.76
-43.34,-126.84,-22.76
-43.5,-126.99,-22.86
-43.64,-127.15,-22.86
-43.77,-127.3,-22.86
-43.9,-127.45,-22.86
-44.04,-127.62,-22.86
-44.15,-127.8,-22.86
-44.28,-127.95,-22.86
-44.4,-128.14,-22.86
-44.51,-128.3,-22.86
-44.63,-128.47,-22.86
-44.74,-128.64,-22.96
-44.85,-128.82,-22.96
-44.95,-128.99,-22.96
-45.04,-129.18,-22.96
-45.15,-129.36,-22.96
-45.24,-129.55,-22.96
-45.32,-129.73,-22.96
-45.4,-129.92,-22.96
-45.48,-130.12,-22.96
-45.56,-130.31,-22.96
-45.63,-130.49,-22.96
-45.7,-130.7,-22.96
-45.76,-130.88,-23.06
-45.82,-131.07,-23.06
-45.88,-131.27,-23.06
-45.94,-131.48,-23.06
-45.99,-131.66,-23.06
-46.03,-131.87,-23.06
-46.07,-132.07,-23.06
-46.09,-132.26,-23.06
-46.11,-132.46,-23.06
-46.14,-132.67,-23.06
-46.14,-132.87,-23.06
-46.14,-133.06,-23.16
-46.15,-133.26,-23.16
-46.14,-133.46,-23.16
-46.14,-133.67,-23.16
-46.13,-133.87,-23.16
-46.12,-134.06,-23.16
-46.1,-134.26,-23.16
-46.1,-134.47,-23.16
-46.07,-134.67,-23.16
-46.05,-134.87,-23.16
-46.03,-135.08,-23.16
-46.0,-135.28,-23.16
-45.97,-135.49,-23.16
-45.94,-135.69,-23.16
-45.9,-135.9,-23.16
-45.87,-136.1,-23.26
-45.82,-136.29,-23.16
-45.79,-136.51,-23.26
-45.74,-136.69,-23.26
-45.7,-136.9,-23.26
-45.65,-137.1,-23.26
-45.59,-137.31,-23.26
-45.55,-137.51,-23.26
-45.49,-137.7,-23.26
-45.44,-137.9,-23.26
-45.38,-138.11,-23.26
-45.33,-138.29,-23.26
-45.29,-138.49,-23.26
-45.23,-138.68,-23.26
-45.16,-138.88,-23.26
-45.11,-139.09,-23.26
-45.05,-139.27,-23.26
-44.98,-139.48,-23.26
-44.92,-139.66,-23.26
-44.87,-139.85,-23.26
-44.8,-140.05,-23.26
-44.74,-140.24,-23.26
-44.68,-140.44,-23.26
