Latitude,Longitude,Altitude
-25.69431647603155,-115.23406411117709,-28.858091988656646
-25.69431647603155,-115.23406411117709,-28.858091988656646
-25.704077950868413,-115.23406404750331,-28.85809202791659
-25.704077950868413,-115.23406404750331,-28.85809202791659
-25.704077950868413,-115.23406404750331,-28.85809202791659
-25.713839425915296,-115.23406398374398,-28.85809206722928
-25.72360102193067,-115.25262804441789,-28.858092441378027
-25.733362496977552,-115.25262798065856,-28.858092480690715
-25.743123972015393,-115.25262791734234,-28.858092519730207
-25.762647043095743,-115.27119191337073,-28.858092933738035
-25.782170115181003,-115.28975591167567,-28.85809334743631
-25.80169306527477,-115.28975578415702,-28.858093426061686
-25.83097761183112,-115.30831971581193,-28.858093879760887
-25.860262159410457,-115.3268836488572,-28.858094333696933
-25.889546706998843,-115.34544758097061,-28.858094787113444
-25.928592851871826,-115.38257557426792,-28.858095617646576
-25.977400351051326,-115.40113937742343,-28.85809615166999
-26.006684899707956,-115.41970330871176,-28.858096606689344
-26.05549252235819,-115.4568312361602,-28.858097475635304
-26.104300023007887,-115.47539503969455,-28.858098011613386
-26.143346171478488,-115.51252302923089,-28.858098842277215
-26.18239232057013,-115.54965101993128,-28.858099674411577
-26.240961298640364,-115.56821475517495,-28.85810025140215
-26.299530401249562,-115.60534261339768,-28.858101164125394
-26.35809938078999,-115.6239063475538,-28.85810174069242
-26.416668485097517,-115.66103420469483,-28.858102655176715
-26.465476114742014,-115.6981621271965,-28.858103529361024
-26.533806697310176,-115.73528991668229,-28.858104486654277
-26.602137281549524,-115.7724177064157,-28.858105444889013
-26.660706390294777,-115.80954556091996,-28.858106362093224
-26.738798453232917,-115.84667328047448,-28.858107361410546
-26.797367564735687,-115.8838011330263,-28.858108280912724
-26.875459630650415,-115.92092885009973,-28.85810928285398
-26.943789799591894,-115.95805481628628,-28.95811024447307
-27.02188186724114,-115.99518253050564,-28.958111249268185
-27.090212459177224,-116.03231031051331,-28.95811221349961
-27.168304657237165,-116.08800214673738,-28.958113556816393
-27.246396729369394,-116.12512985561574,-28.958114564904683
-27.33425028017326,-116.16225749711086,-28.958115615634206
-27.41234248439642,-116.2179493282872,-28.958116964251566
-27.49043456122164,-116.255077031739,-28.958117975685767
-27.578288117129528,-116.29220466856839,-28.958119030386214
-27.656380327305854,-116.34789649380492,-28.95812038266594
-27.744233886856605,-116.38502412563545,-28.95812144044858
-27.822326101260643,-116.44071594832076,-28.958122795395482
-27.91994114249583,-116.47784350753702,-28.958123897950586
-27.998033361373793,-116.53353532581318,-28.95812525671019
-28.095647967008837,-116.5706610541743,-29.058126362779305
-28.173740188872436,-116.62635286952627,-29.058127724436034
-28.261593758274497,-116.66348048860593,-29.058128791174717
-28.359208940767545,-116.71917215979569,-29.05813024062477
-28.437301035269407,-116.75629984662834,-29.058131267776602
-28.525154744350562,-116.81199158408616,-29.05813267855539
-28.622769799518068,-116.84911912400663,-29.058133793007883
-28.700862034329106,-116.90481092896081,-29.058135164358035
-28.7887157501945,-116.96050266106857,-29.058136579529688
-28.876569468634514,-117.01619438900252,-29.058137996180697
-28.954661710403627,-117.07188619078228,-29.058139371676376
-29.032754090966485,-117.1461421120314,-29.058141087256978
-29.10108499510466,-117.2203981052684,-29.058142762827813
-29.179177381566397,-117.29465402421387,-29.058144482017042
-29.237746810960125,-117.36891008679932,-29.058146114829064
-29.29631637996055,-117.4617302722852,-29.05814809108108
-29.354885355186376,-117.5359844914092,-29.158149726426913
-29.403693310309986,-117.61024062149102,-29.1581513198103
