Latitude,Longitude,Altitude
58.3419555,25.568532166666667,77.2
58.34195533333333,25.568532166666667,77.2
58.341955166666665,25.568532166666667,77.2
58.341955166666665,25.568532166666667,77.2
58.341955166666665,25.568532333333334,77.2
58.341955,25.568532333333334,77.2
58.341955,25.568532333333334,77.2
58.341955,25.568532333333334,77.2
58.34195483333333,25.568532333333334,77.2
58.34195483333333,25.5685325,77.2
58.34195483333333,25.5685325,77.2
58.341955,25.5685325,77.2
58.341955,25.568532666666666,77.2
58.341955,25.568532833333332,77.2
58.341955,25.568532833333332,77.2
58.341955,25.568532833333332,77.2
58.341955,25.568533,77.2
58.341955,25.56853316666667,77.2
58.341955,25.56853316666667,77.2
58.341955,25.568533333333335,77.2
58.341955,25.568533333333335,77.2
58.341955166666665,25.5685335,77.2
58.34195533333333,25.5685335,77.2
58.341955166666665,25.568533666666667,77.2
58.341955166666665,25.568533666666667,77.1
58.34195533333333,25.568533666666667,77.1
58.34195533333333,25.568533833333333,77.1
58.3419555,25.568533833333333,77.1
58.34195533333333,25.568534166666666,77.2
58.34195533333333,25.568534,77.1
58.34195533333333,25.568534,77.2
58.34195533333333,25.568534166666666,77.1
58.3419555,25.568534166666666,77.1
58.3419555,25.568534333333332,77.1
58.341955666666664,25.568534333333332,77.1
58.341955666666664,25.568534333333332,77.1
58.341955666666664,25.568534333333332,77.1
58.34195583333333,25.5685345,77.1
58.34195583333333,25.5685345,77.1
58.34195583333333,25.568534666666668,77.1
58.341956,25.568534833333334,77.1
58.34195583333333,25.568534833333334,77.1
58.341956,25.568534833333334,77.1
58.34195583333333,25.568534833333334,77.1
58.341956,25.568534833333334,77.1
58.34195616666667,25.568534833333334,77.1
58.34195616666667,25.568534833333334,77.1
58.341956,25.568534833333334,77.1
58.34195616666667,25.568534833333334,77.1
58.34195616666667,25.568534833333334,77.1
58.341956,25.568535,77.1
58.34195616666667,25.568535,77.1
58.341956333333336,25.568535,77.1
58.341956333333336,25.568535,77.1
58.341956333333336,25.568535,77.1
58.3419565,25.568535,77.1
58.3419565,25.568535166666667,77.1
58.3419565,25.568535166666667,77.1
58.3419565,25.568535166666667,77.1
58.3419565,25.568535166666667,77.0
58.34195666666667,25.568535333333333,77.1
58.34195666666667,25.568535333333333,77.0
58.34195666666667,25.568535333333333,77.0
58.341956833333334,25.568535333333333,77.0
58.341956833333334,25.5685355,77.0
58.341956833333334,25.5685355,77.0
58.34195666666667,25.568535833333332,77.0
58.341956833333334,25.568535833333332,77.0
58.341957,25.568535666666666,77.0
58.341956833333334,25.568535666666666,77.0
58.341956833333334,25.568535666666666,77.0
58.341956833333334,25.568535666666666,77.0
58.34195666666667,25.568535666666666,77.0
58.34195666666667,25.568535666666666,77.0
58.34195666666667,25.568535833333332,77.0
58.34195666666667,25.568535833333332,77.0
58.34195666666667,25.568536,77.0
58.3419565,25.568536166666668,77.0
58.34195666666667,25.568536333333334,77.0
58.341956833333334,25.5685365,77.0
58.341956833333334,25.568536666666667,77.0
58.341957,25.568536833333333,77.0
58.341956833333334,25.568537,77.0
58.341956833333334,25.568537,77.0
58.341957,25.56853733333333,77.0
58.341957,25.5685375,76.9
58.341957,25.5685375,76.9
58.341956833333334,25.568537833333334,77.0
58.341956833333334,25.568537833333334,76.9
58.341956833333334,25.568538,76.9
58.341956833333334,25.568538166666666,77.0
58.341956833333334,25.568538166666666,76.9
58.34195666666667,25.568538333333333,76.9
58.341956833333334,25.5685385,76.9
58.341956833333334,25.568538666666665,76.9
58.341956833333334,25.568538833333335,76.9
58.341957,25.568538833333335,76.9
58.341957,25.568539,76.9
58.341957,25.568539166666667,76.9
58.341957,25.568539166666667,76.9
58.341957,25.568539333333334,76.9
58.341957,25.5685395,76.9
58.341957,25.5685395,76.9
58.341956833333334,25.568539666666666,76.9
58.341957,25.568539666666666,76.9
58.341957,25.568539833333332,76.9
58.34195716666667,25.56854,76.9
58.341957,25.56854,76.9
58.34195716666667,25.568540166666665,76.9
58.34195716666667,25.568540166666665,76.9
58.34195716666667,25.568540333333335,76.9
58.34195716666667,25.5685405,76.9
58.34195733333333,25.568540666666667,76.9
58.3419575,25.568540666666667,76.9
58.3419575,25.568540833333333,76.9
58.3419575,25.568541,76.9
58.3419575,25.568541166666666,76.9
58.341957666666666,25.568541333333332,76.9
58.3419575,25.568541333333332,76.9
58.3419575,25.568541333333332,76.9
58.341957666666666,25.56854166666667,76.9
58.341957666666666,25.568541833333335,76.9
58.341957666666666,25.568541833333335,76.9
58.341957666666666,25.568542,76.9
58.341957666666666,25.568542,76.9
58.3419575,25.568542833333332,76.8
58.3419575,25.568543333333334,76.8
58.3419575,25.568543833333333,76.9
58.3419575,25.56854433333333,76.8
58.341957666666666,25.568545,76.8
